commodity,year,type,msprice,msp_filter
sugarcane,2015,othercrops,230.0,1
paddyunhusked,2016,kharifcrops,1470.0,1
ricepaddyhus,2016,kharifcrops,1510.0,1
jowarhybrid,2016,kharifcrops,1625.0,1
sorgumjawar,2016,kharifcrops,1650.0,1
bajri,2016,kharifcrops,1330.0,1
maize,2016,kharifcrops,1365.0,1
ragimaldandi,2016,kharifcrops,1725.0,1
pigeonpeatur,2016,kharifcrops,4625.0,1
spiltgerrngram,2016,kharifcrops,4800.0,1
splitblackgram,2016,kharifcrops,4575.0,1
cotton,2016,kharifcrops,3860.0,1
cottonlongstaple,2016,kharifcrops,4160.0,1
grnutkernels,2016,kharifcrops,4120.0,1
sunflower,2016,kharifcrops,3850.0,1
soyabean,2016,kharifcrops,2675.0,1
sesamum,2016,kharifcrops,4800.0,1
nigerseed,2016,kharifcrops,3725.0,1
copramillingyellow,2016,othercrops,5950.0,1
copraballyellow,2016,othercrops,6240.0,1
coconut,2016,othercrops,1600.0,1
juteyellow,2016,othercrops,3200.0,1
sugarcane,2016,othercrops,230.0,1
